id,O94985_CLSTN1,P13727_PRG2,Q8N4N3_KLHL36,Q9UHA4_LAMTOR3,Q5XPI4_RNF123,P15692_VEGFA,P15514_AREG,Q96HA8_NTAQ1,P00738_HP,Q8TCN5_ZNF507,Q9UHI8_ADAMTS1,Q96DX4_RSPRY1,Q96SQ9_CYP2S1,Q92537_SUSD6,P02774_GC,Q6ZMM2_ADAMTSL5,Q07954_LRP1,P29279_CCN2,O95813_CER1,P58215_LOXL3,O43597_SPRY2,P27658_COL8A1,Q92520_FAM3C,Q9Y3B2_EXOSC1,Q9Y467_SALL2,O43502_RAD51C,Q86T26_TMPRSS11B,O14628_ZNF195,P68106_FKBP1B,P21810_BGN,O15162_PLSCR1,F5H991_US26,Q8WV35_LRRC29,O76003_GLRX3,P60371_KRTAP10-6,Q8IZC6_COL27A1,Q5TD97_FHL5,Q8IUL8_CILP2,P51884_LUM,P21333_FLNA,P17931_LGALS3,O95363_FARS2,P35914_HMGCL,P07585_DCN,Q7Z3S9_NOTCH2NLA,Q96GX1_TCTN2,P58340_MLF1,Q14865_ARID5B,P04083_ANXA1,P01135_TGFA,Q9UPV0_CEP164,P01106_MYC,F1D8T1_NR2A1,P98095_FBLN2,Q15853_USF2,P22304_IDS,P29972_AQP1,Q8TC07_TBC1D15,Q9BX93_PLA2G12B,P13611_VCAN,Q08397_LOXL1,P07858_CTSB,Q9H5Z6_FAM124B,P51888_PRELP,P38936_CDKN1A,P0DP24_CALM2,Q6E0U4_DMKN,Q15067_ACOX1,Q15063_POSTN,Q15633_TARBP2,Q8TCU4_ALMS1,P45452_MMP13,P35625_TIMP3,P08603_CFH,P27918_CFP,P60412_KRTAP10-11,Q6K0P9_PYHIN1,P31431_SDC4,Q99496_RNF2,P49747_COMP,Q6UXH8_CCBE1,O15354_GPR37,P25189_MPZ,P18827_SDC1,P01042_KNG1,P08254_MMP3,Q14192_FHL2,P08833_IGFBP1,P43115_PTGER3,Q70EL1_USP54,Q05516_ZBTB16,Q8TCE9_LGALS14,Q6ZMP0_THSD4,Q9BYR9_KRTAP2-4,Q93079_H2BC9,O75339_CILP,Q13526_PIN1,Q6RVD6_SPATA8,Q6UY11_DLK2,Q92628_KIAA0232,Q9BY27_DGCR6L,P25391_LAMA1,P35813_PPM1A,O75173_ADAMTS4,Q8N2S1_LTBP4,O60687_SRPX2,Q71U36_TUBA1A,Q9NXB0_MKS1,O75976_CPD,O96009_NAPSA,P0C7H8_KRTAP2-3,Q0WX57_USP17L24,O14594_NCAN,P05019_IGF1,Q6UY14_ADAMTSL4,P02647_APOA1,Q86TG1_TMEM150A,Q8IWU6_SULF1,Q8WZA2_RAPGEF4,Q14764_MVP,P05107_ITGB2,Q9NYQ6_CELSR1,Q9R0G6_Q9R0G6,P02765_AHSG,P14618_PKM,P60369_KRTAP10-3,Q9BYR5_KRTAP4-2,P22415_USF1,P30040_ERP29,O43897_TLL1,Q969U6_FBXW5,O75665_OFD1,Q15560_TCEA2,P16930_FAH,Q8N2C7_UNC80,O00468_AGRN,Q8WYR1_PIK3R5,Q6ZN18_AEBP2,Q9H4E5_RHOJ,Q9BYQ4_KRTAP9-2,O95429_BAG4,Q9NRD1_FBXO6,P01568_IFNA21,P32242_OTX1,P01116_KRAS,P24821_TNC,Q5T751_LCE1C,Q99075_HBEGF,Q92743_HTRA1,Q9NR09_BIRC6,P29016_CD1B,P09668_CTSH,Q6A162_KRT40,P30443_HLA-A,P47929_LGALS7,Q02447_SP3,Q701N4_KRTAP5-2,Q5T7P3_LCE1B,Q99965_ADAM2,P35555_FBN1,Q14689_DIP2A,O95502_NPTXR,Q8WWY8_LIPH,Q92922_SMARCC1,Q6L8G8_KRTAP5-7,Q16635_TAFAZZIN,Q63ZY3_KANK2,Q17RW2_COL24A1,Q07507_DPT,Q9NS15_LTBP3,P20155_SPINK2,O43741_PRKAB2,Q13424_SNTA1,Q08431_MFGE8,Q9UKF2_ADAM30,P0CG39_POTEJ,Q5T5A8_LCE3C,P08476_INHBA,Q9Y223_GNE,O15496_PLA2G10,Q14766_LTBP1,P02749_APOH,Q9BZE9_ASPSCR1,P02652_APOA2,P42694_HELZ,Q9UJV3_MID2,P39060_COL18A1,Q7Z417_NUFIP2,Q14767_LTBP2,Q92624_APPBP2,P68871_HBB,Q7L099_RUFY3,P10451_SPP1,P51114_FXR1,P28799_GRN,P16870_CPE,Q9BV73_CEP250,Q8IWV7_UBR1,Q05707_COL14A1,Q6EMK4_VASN,Q8IYR0_CFAP206,P14210_HGF,Q13445_TMED1,P25800_LMO1,P11142_HSPA8,Q86SG6_NEK8,P01834_IGKC,Q12805_EFEMP1,P20062_TCN2,Q9Y6H1_CHCHD2,O15014_ZNF609,P60411_KRTAP10-9,Q9Y4X0_AMMECR1,Q15084_PDIA6,P11387_TOP1,P09228_CST2,Q07912_TNK2,O15232_MATN3,P02452_COL1A1,Q14112_NID2,P55316_FOXG1,P02768_ALB,Q16637_SMN1,Q9NRH2_SNRK,Q9BYR7_KRTAP3-2,P12111_COL6A3,P08572_COL4A2,Q14118_DAG1,Q5QGZ9_CLEC12A,O95302_FKBP9,Q5T5B0_LCE3E,P34130_NTF4,P98170_XIAP,O00391_QSOX1,Q9BQ66_KRTAP4-12,P01569_IFNA5,Q96PN8_TSSK3,P54756_EPHA5,P25940_COL5A3,Q9Y4K0_LOXL2,P09238_MMP10,B4DJ51_HEL-S-72,P09681_GIP,Q13643_FHL3,P78509_RELN,P60331_KRTAP10-1,Q9NP91_SLC6A20,Q8TE56_ADAMTS17,Q99447_PCYT2,P19320_VCAM1,Q8WY64_MYLIP,P04183_TK1,P48059_LIMS1,Q8WUD1_RAB2B,Q9H6R7_WDCP,Q12756_KIF1A,Q3V5L5_MGAT5B,Q96PB7_OLFM3,Q7L8W6_DPH6,Q7Z6G3_NECAB2,Q17RB8_LONRF1,Q8IWZ5_TRIM42,Q9BYQ6_KRTAP4-11,P0C0L5_C4B,Q08380_LGALS3BP,Q9NUL5_SHFL,Q9H4B7_TUBB1,Q12933_TRAF2,Q14574_DSC3,P98160_HSPG2,P54652_HSPA2,P60410_KRTAP10-8,Q13546_RIPK1,P22004_BMP6,P19823_ITIH2,Q86VR8_FJX1,P00751_CFB,Q96MU7_YTHDC1,Q6Y288_B3GLCT,P00488_F13A1,Q14624_ITIH4,Q9BY32_ITPA,P01023_A2M,Q8IWU5_SULF2,Q13490_BIRC2,O43559_FRS3,P02458_COL2A1,O95460_MATN4,Q9UBL6_CPNE7,P01024_C3,P12110_COL6A2,P32881_IFNA8,P0DPA2_VSIG8,Q9UGJ1_TUBGCP4,P06870_KLK1,P35237_SERPINB6,Q6DN03_H2BC20P,Q9UK85_DKKL1,A0A024R8E5_COL5A1,Q6PF18_MORN3,P60328_KRTAP12-3,Q86XX4_FRAS1,P04275_VWF,Q7Z2X4_PID1,O60504_SORBS3,P12109_COL6A1,P78560_CRADD,P02751_FN1,Q3LI59_KRTAP21-2,P20151_KLK2,Q5VX71_SUSD4,P14174_MIF,P24593_IGFBP5,Q9H2A7_CXCL16,P25791_LMO2,Q04900_CD164,P62736_ACTA2,P0DPK4_NOTCH2NLC,O60336_MAPKBP1,Q9UI38_PRSS50,Q14129_DGCR6,Q8NFT6_DBF4B,Q9BZL6_PRKD2,P13942_COL11A2,A0A024R8K7_ITGB4,A0A0S2Z3H5_COL1A2,P35556_FBN2,Q13616_CUL1,Q9UHI7_SLC23A1,O14672_ADAM10,Q16581_C3AR1,P16112_ACAN,Q9BWW8_APOL6,Q9UPY3_DICER1,Q01814_ATP2B2,P25774_CTSS,O60573_EIF4E2,P23769_GATA2,Q14749_GNMT,Q9NT22_EMILIN3,P10071_GLI3,O95450_ADAMTS2,Q02930_CREB5,Q9H4G0_EPB41L1,P22466_GAL,P12107_COL11A1,Q9UI42_CPA4,P01034_CST3,P49716_CEBPD,Q9H503_BANF2,Q68D85_NCR3LG1,P01011_SERPINA3,Q7L273_KCTD9,Q9GZQ4_NMUR2,Q9UBP4_DKK3,Q9UNA0_ADAMTS5,Q9HBZ2_ARNT2,Q6PJG9_LRFN4,A0A024RAQ9_CSPG2,Q13509_TUBB3,Q15517_CDSN,P20073_ANXA7,P02461_COL3A1,Q96F81_DISP1,Q99661_KIF2C,A0A024RD55_EGFL9,Q6UWN0_LYPD4,P07602_PSAP,P50222_MEOX2,P07355_ANXA2,Q03167_TGFBR3,P10909_CLU,Q9UHD9_UBQLN2,P48307_TFPI2,Q92187_ST8SIA4,P07996_THBS1,P20774_OGN,P13497_BMP1,P11021_HSPA5,O00213_APBB1,Q9BX59_TAPBPL,Q01664_TFAP4,O75716_STK16,O43184_ADAM12,Q6L8G9_KRTAP5-6,P78362_SRPK2,Q01094_E2F1,P09382_LGALS1,A8MQ03_CYSRT1,P60370_KRTAP10-5,Q8N5R6_CCDC33,P01860_IGHG3,Q07627_KRTAP1-1,P52888_THOP1,P60660_MYL6,P01009_SERPINA1,A5D8T8_CLEC18A,Q9GZT8_NIF3L1,Q15113_PCOLCE,Q16635_TAZ,P02462_COL4A1,P05997_COL5A2,A0A024RC70_FURIN,Q96SQ5_ZNF587,Q8NEC5_CATSPER1,O95985_TOP3B,P31273_HOXC8,P16220_CREB1,P49639_HOXA1,A0A024R5G1_EFEMP2,A5PL33_KRBA1,P02795_MT2A,Q6DD88_ATL3,Q9ULA0_DNPEP,Q7Z3C6_ATG9A,Q9NY97_B3GNT2,P02787_TF,O00462_MANBA,P02790_HPX,Q6NZI2_CAVIN1,P14625_HSP90B1,P26371_KRTAP5-9,Q5JXC2_MIIP,Q92754_TFAP2C,Q96PM5_RCHY1,Q8N6N6_NATD1,Q9BYQ2_KRTAP9-4,P13605_FMOD,Q99750_MDFI,Q03135_CAV1,Q6ZPD9_DPY19L3,O14633_LCE2B,Q15654_TRIP6,Q5TA82_LCE2D,P68366_TUBA4A,P27986_PIK3R1,P51957_NEK4,Q13291_SLAMF1,Q5TA78_LCE4A,Q8TC27_ADAM32,P00451_F8,O15315_RAD51B,Q8TAU3_ZNF417,P13928_ANXA8,P49767_VEGFC,P08670_VIM,O00233_PSMD9,P50454_SERPINH1,Q96GW7_BCAN,O75629_CREG1
XP006520926.1_10090_83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XP015137930.2_9031_85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XP002932868.3_8364_87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XP017210006.1_7955_89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XP026694849.1_7719_92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NP001255448.1_6239_94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NP996218.1_7227_97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NP001074489.1_10090_99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NP922932.2_9606_100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NP001179945.1_9913_102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XP025000716.1_9031_104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XP002934253.2_8364_106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XP017213499.1_7955_108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NP112219.3_9606_110,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XP024849927.1_9913_111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NP766207.2_10090_113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NP001376576.1_9031_115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
